# public page	lab-vault source(s) — PRIVATE (gitignored); preserves the sync tie-back
01 Characters/Jagwar Twin.md	["Brain/Characters/Jagwar Twin.md", "Sources/Quotes/Roy Interview - culture3 (33 + Hall of Mirrors) 2022 [2026-06-26].md"]
01 Characters/Mary.md	["Brain/Characters/Mary.md"]
01 Characters/Roy.md	["Brain/Characters/Roy.md", "Essays/Characters/Roy.md", "Sources/Artifacts/Roy - Tattoos (body inventory).md", "Brain/Roy Voice/Roy on Mirrors & Collective Consciousness.md", "Brain/Roy Voice/Roy on the Heart-Mind Split.md", "Sources/Quotes/Roy IG Book Club (reading list).md", "Sources/Quotes/Roy Interview - culture3 (33 + Hall of Mirrors) 2022 [2026-06-26].md", "Sources/Quotes/Roy X Post - Everyone's a Guru (Aquarium).md", "Sources/Quotes/Sir Lucius IG Post - One Hit Wonder.md"]
01 Characters/SARAVI.md	["Brain/Concepts/The Digital Double.md", "Brain/Concepts/The Upload.md", "Brain/Concepts/Hall of Mirrors.md"]
01 Characters/Sir Lucius.md	["Brain/Characters/Sir Lucius.md", "Essays/Characters/Sir Lucius.md", "Sources/Quotes/Sir Lucius IG Post - One Hit Wonder.md", "Sources/Quotes/Sir Lucius IG Post - Keys to Instagram (truth deceiving).md", "Sources/Quotes/Roy IG Book Club (reading list).md"]
01 Characters/Sir Rabbit.md	["Brain/Characters/Sir Rabbit.md", "Sources/Artifacts/HoM Room 51 - Sir Rabbit (poem).md"]
01 Characters/The System.md	["Brain/Concepts/The Algorithm.md", "Brain/Concepts/The Circus.md", "Brain/Concepts/The Spectacle.md", "Brain/Concepts/Consumption.md", "Brain/Concepts/Flattened Identity.md", "Brain/Concepts/The Audience.md", "Brain/Concepts/The Aquarium.md", "Brain/Concepts/The Wheel.md", "Brain/Concepts/Machine vs Human.md", "Brain/Concepts/Witnessing vs Surveillance.md", "Brain/Concepts/Communion vs Spectacle.md", "Brain/Concepts/Panem et Circenses.md", "Brain/Concepts/The Realm.md", "Brain/Concepts/The Manifesto Cards.md", "Brain/Roy Voice/Roy on Industry.md", "Brain/Songs/Welcome to the Circus.md", "Brain/Songs/33 (2022)/I Like to Party.md", "Brain/Characters/Sir Lucius.md", "Sources/Lyrics/The Circle.md", "Sources/Lyrics/SOL.md", "Sources/Transcripts/The Interview (Roy vs Sir Lucius, theatrical EP1-7).md", "Sources/Quotes/Roy IG Book Club (reading list).md"]
02 Concepts/Communion vs Spectacle.md	["Brain/Concepts/Communion vs Spectacle.md"]
02 Concepts/Consumption.md	["Brain/Concepts/Consumption.md"]
02 Concepts/Duality.md	["Brain/Concepts/Duality.md", "Sources/Transcripts/New-England-Sounds-2019-Avril-Tour.md", "Sources/Transcripts/Roy IG Live - Bailey 12 Labours of Hercules.md"]
02 Concepts/Flattened Identity.md	["Brain/Concepts/Flattened Identity.md"]
02 Concepts/Gnosticism - The World as Trap.md	["Brain/Concepts/Gnosticism - The World as Trap.md"]
02 Concepts/Hall of Mirrors.md	["Brain/Concepts/Hall of Mirrors.md"]
02 Concepts/Hermeticism - As Above So Below.md	["Brain/Concepts/Hermeticism - As Above So Below.md"]
02 Concepts/Inherited Substrate.md	["Brain/Concepts/Inherited Substrate.md"]
02 Concepts/Inversion.md	["Brain/Concepts/Inversion.md", "Sources/Artifacts/Roy - Tattoos (body inventory).md", "Sources/Reference/Roy - LOOP-era Theatrical Lore (compiled posts).md"]
02 Concepts/Jacob and Esau.md	["Essays/Concepts/Jacob & Esau.md"]
02 Concepts/Jagwar Twin and Harry Potter.md	["Essays/Concepts/Jagwar Twin and Harry Potter — Shared-Source Parallels.md"]
02 Concepts/Joni and the Prophet Lineage.md	["Brain/Concepts/Joni and the Prophet lineage - alignment audit (not a claim).md"]
02 Concepts/Kabbalah - The Tree of Life.md	["Brain/Concepts/Kabbalah - The Tree of Life.md", "Brain/Concepts/Source vs Reflection.md", "Brain/Characters/Sir Lucius.md", "Brain/Concepts/The Light-Bearer.md"]
02 Concepts/Keilim - The Breaking of the Vessels.md	["Brain/Concepts/Keilim - The Breaking of the Vessels.md"]
02 Concepts/Machine vs Human.md	["Brain/Concepts/Machine vs Human.md", "Essays/Arcs/Machine vs Human.md", "Essays/Concepts/Songs/Superhuman (Interlude).md", "Sources/Credits/Subject to Flooding.md"]
02 Concepts/Nigredo.md	["Brain/Concepts/Nigredo.md"]
02 Concepts/Panem et Circenses.md	["Brain/Concepts/Panem et Circenses.md"]
02 Concepts/Pronoun Audit (I-You).md	["Brain/Concepts/Pronoun Audit - I-you machine (33 vs Lucius Lullaby).md"]
02 Concepts/Source vs Reflection.md	["Brain/Concepts/Source vs Reflection.md", "Brain/Albums/Subject to Flooding (album).md", "Essays/Concepts/Songs/Ballerina Boy.md", "Brain/Characters/Sir Lucius.md"]
02 Concepts/The Algorithm.md	["Brain/Concepts/The Algorithm.md"]
02 Concepts/The Angels and the Angles.md	["Brain/Concepts/The Angels and the Angles.md"]
02 Concepts/The Aquarium.md	["Brain/Concepts/The Aquarium.md"]
02 Concepts/The Audience.md	["Brain/Concepts/The Audience.md"]
02 Concepts/The Circus.md	["Brain/Concepts/The Circus.md"]
02 Concepts/The Digital Double.md	["Brain/Concepts/The Digital Double.md"]
02 Concepts/The Divide.md	["Brain/Concepts/The Divide.md", "Sources/Artifacts/HoM Room 51 - Sir Rabbit (poem).md"]
02 Concepts/The Dweller on the Threshold.md	["Brain/Concepts/The Dweller on the Threshold.md", "Essays/Concepts/The Dweller on the Threshold.md"]
02 Concepts/The Empty Mirror.md	["Brain/Concepts/The Empty Mirror.md"]
02 Concepts/The Flip and the Distorting Mirror.md	["Brain/Concepts/The Flip and the Distorting Mirror.md"]
02 Concepts/The House and the Vessel.md	["Brain/Concepts/The House & the Vessel — Container Imagery (hold, open, shatter, hatch).md"]
02 Concepts/The I'm 33 Board.md	["Brain/Concepts/The Im 33 Board - Decoded (Roy's upload cosmology).md"]
02 Concepts/The Jaguar.md	["Brain/Concepts/The Jaguar.md"]
02 Concepts/The Labors of Hercules.md	["Brain/Concepts/The Labors of Hercules.md", "Essays/Concepts/The Labors of Hercules.md"]
02 Concepts/The Labyrinth.md	["Brain/Concepts/The Labyrinth.md"]
02 Concepts/The Light-Bearer.md	["Brain/Concepts/The Light-Bearer.md", "Brain/Characters/Sir Lucius.md"]
02 Concepts/The Loop and the Circle.md	["Brain/Concepts/The Circle.md", "Sources/Transcripts/Digital-Journal-2019-Move-To-You-Loser.md", "Sources/Lyrics/The Circle.md", "Sources/Transcripts/Audio-Addiction-2024-Trojan-Horse-Mirror.md"]
02 Concepts/The Manifesto Cards.md	["Brain/Concepts/The Manifesto Cards.md"]
02 Concepts/The Mouth.md	["Brain/Concepts/The Mouth.md"]
02 Concepts/The Pattern.md	["Brain/Concepts/The Pattern.md", "Sources/Artifacts/Roy - I'm 33 this year (spreadsheet).md", "Sources/Quotes/Roy X Posts - June 2026 (aphorisms).md"]
02 Concepts/The Protector.md	["Brain/Concepts/The Protector.md"]
02 Concepts/The Realm.md	["Brain/Concepts/The Realm.md"]
02 Concepts/The Speaker Problem.md	["Brain/Concepts/The Speaker Problem.md"]
02 Concepts/The Spectacle.md	["Brain/Concepts/The Spectacle.md"]
02 Concepts/The Upload.md	["Brain/Concepts/The Upload.md"]
02 Concepts/The Veil.md	["Brain/Concepts/The Veil.md"]
02 Concepts/The Visual Canon Throughline.md	["Essays/Concepts/The Visual-Canon Throughline (Manifesto Cards, the Realized Circus, the Silent Lucius) 2019-2026.md"]
02 Concepts/The Voice.md	["Brain/Concepts/The Voice.md"]
02 Concepts/Witnessing vs Surveillance.md	["Brain/Concepts/Witnessing vs Surveillance.md"]
03 Symbols/Fire.md	["Brain/Concepts/Fire.md"]
03 Symbols/The Banana.md	["Brain/Concepts/The Banana.md"]
03 Symbols/The Green Apple.md	["Sources/Reference/Roy - LOOP-era Theatrical Lore (compiled posts).md", "Brain/Characters/Sir Lucius.md", "Sources/Quotes/Sir Lucius IG Post - Keys to Instagram (truth deceiving).md", "Brain/Concepts/The Banana.md"]
03 Symbols/The Mask.md	["Brain/Concepts/The Mask.md"]
03 Symbols/The Mirror.md	["Brain/Concepts/The Mirror.md"]
03 Symbols/The Moon.md	["Brain/Concepts/Source vs Reflection.md", "Brain/Characters/Mary.md", "Brain/Characters/Sir Lucius.md", "Brain/Concepts/Duality.md", "Brain/Songs/Singles & EPs/BALLERINA BOY.md"]
03 Symbols/The Rabbit.md	["Sources/Transcripts/Roy TikTok - Good Time (1-08) dream story.md", "Sources/Artifacts/HoM Room 51 - Sir Rabbit (poem).md", "Brain/Characters/Sir Rabbit.md", "Sources/Quotes/Roy X Posts - June 2026 (aphorisms).md"]
03 Symbols/The Rose.md	["Sources/Reference/Roy - LOOP-era Theatrical Lore (compiled posts).md", "Sources/Artifacts/Roy - Tattoos (body inventory).md", "Brain/Concepts/Inversion.md"]
03 Symbols/The Thread.md	["Brain/Concepts/The Thread.md"]
03 Symbols/The Wheel.md	["Brain/Concepts/The Wheel.md"]
04 Albums & Eras/Lucius Lullaby/#1 Champion (la Conquistadora).md	["Essays/Concepts/Songs/#1 Champion (la Conquistadora).md", "Brain/Songs/Lucius Lullaby (2026)/#1 Champion (la Conquistadora).md"]
04 Albums & Eras/Singles & EPs/All My Friends.md	["Essays/Concepts/Songs/All My Friends.md", "Brain/Songs/Singles & EPs/All My Friends.md"]
04 Albums & Eras/33/Another Way II Heaven.md	["Brain/Songs/33 (2022)/Another Way II Heaven.md", "Essays/Concepts/Songs/Another Way II Heaven.md"]
04 Albums & Eras/Lucius Lullaby/Bad Feeling (Oompa Loompa).md	["Essays/Concepts/Songs/Bad Feeling (Oompa Loompa).md", "Brain/Songs/Lucius Lullaby (2026)/Bad Feeling (Oompa Loompa).md"]
04 Albums & Eras/Singles & EPs/Ballerina Boy.md	["Essays/Concepts/Songs/Ballerina Boy.md", "Brain/Songs/Singles & EPs/BALLERINA BOY.md"]
04 Albums & Eras/Lucius Lullaby/Bananas.md	["Essays/Concepts/Songs/Bananas.md", "Brain/Songs/Lucius Lullaby (2026)/Bananas.md"]
04 Albums & Eras/Lucius Lullaby/Bounce.md	["Essays/Concepts/Songs/Bounce.md", "Brain/Songs/Lucius Lullaby (2026)/Bounce.md"]
04 Albums & Eras/Lucius Lullaby/City of Angels.md	["Essays/Concepts/Songs/City of Angels.md", "Brain/Songs/Lucius Lullaby (2026)/City of Angels.md"]
04 Albums & Eras/33/Down to You.md	["Essays/Concepts/Songs/Down to You.md", "Brain/Songs/33 (2022)/Down to You.md"]
04 Albums & Eras/Subject to Flooding/Dream - Dream.md	["Essays/Concepts/Songs/Dream - Dream.md", "Brain/Songs/Subject to Flooding (2018)/Dream - Dream.md"]
04 Albums & Eras/Subject to Flooding/Good Day.md	["Essays/Concepts/Songs/Good Day.md", "Brain/Songs/Subject to Flooding (2018)/Good Day.md"]
04 Albums & Eras/Singles & EPs/Good Time (1-08).md	["Essays/Concepts/Songs/Good Time (1-08).md", "Brain/Songs/Singles & EPs/Good Time (1-08).md"]
04 Albums & Eras/Lucius Lullaby/Great Time to Be Human.md	["Essays/Concepts/Songs/Great Time to Be Human.md", "Brain/Songs/Lucius Lullaby (2026)/Great Time to Be Human.md"]
04 Albums & Eras/33/Happy Face.md	["Essays/Concepts/Songs/Happy Face.md", "Brain/Songs/33 (2022)/Happy Face.md"]
04 Albums & Eras/Subject to Flooding/Hell Of A Night.md	["Essays/Concepts/Songs/Hell Of A Night.md", "Brain/Songs/Subject to Flooding (2018)/Hell Of A Night.md"]
04 Albums & Eras/Subject to Flooding/Hell of a Night Pt. 2 (The Hallelujah Stickup).md	["Essays/Concepts/Songs/Hell of a Night Pt. 2 (The Hallelujah Stickup).md", "Brain/Songs/Subject to Flooding (2018)/Hell Of A Night Pt. 2 (The Hallelujah Stickup).md"]
04 Albums & Eras/33/I Like to Party.md	["Essays/Concepts/Songs/I Like to Party.md", "Brain/Songs/33 (2022)/I Like to Party.md"]
04 Albums & Eras/33/Imagine A World.md	["Essays/Concepts/Songs/Imagine A World.md", "Brain/Songs/33 (2022)/Imagine A World.md"]
04 Albums & Eras/33/It's Your Time.md	["Essays/Concepts/Songs/It's Your Time.md", "Brain/Songs/33 (2022)/It's Your Time.md"]
04 Albums & Eras/Singles & EPs/LOOP.md	["Essays/Concepts/Songs/LOOP.md", "Brain/Songs/Singles & EPs/LOOP.md"]
04 Albums & Eras/Singles & EPs/Life Is Good.md	["Essays/Concepts/Songs/Life Is Good.md"]
04 Albums & Eras/Subject to Flooding/Long Time Coming.md	["Essays/Concepts/Songs/Long Time Coming.md", "Brain/Songs/Subject to Flooding (2018)/Long Time Coming.md"]
04 Albums & Eras/Subject to Flooding/Loser.md	["Essays/Concepts/Songs/Loser.md", "Brain/Songs/Subject to Flooding (2018)/Loser.md"]
04 Albums & Eras/Lucius Lullaby/Lucius Lullaby.md	["Essays/Concepts/Songs/Lucius Lullaby.md", "Brain/Songs/Lucius Lullaby.md"]
04 Albums & Eras/Singles & EPs/MAGIK.md	["Essays/Concepts/Songs/MAGIK.md", "Brain/Songs/Singles & EPs/MAGIK.md"]
04 Albums & Eras/Lucius Lullaby/Moths to the Flame.md	["Essays/Concepts/Songs/Moths to the Flame.md", "Brain/Songs/Lucius Lullaby (2026)/Moths to the Flame.md"]
04 Albums & Eras/Subject to Flooding/Move To You.md	["Essays/Concepts/Songs/Move To You.md", "Brain/Songs/Subject to Flooding (2018)/Move To You.md"]
04 Albums & Eras/Subject to Flooding/No Fake Friends.md	["Essays/Concepts/Songs/No Fake Friends.md", "Brain/Songs/Subject to Flooding (2018)/No Fake Friends.md"]
04 Albums & Eras/Lucius Lullaby/Not Your Homie.md	["Essays/Concepts/Songs/Not Your Homie.md", "Brain/Songs/Lucius Lullaby (2026)/Not Your Homie.md"]
04 Albums & Eras/33/Online.md	["Essays/Concepts/Songs/Online.md", "Brain/Songs/33 (2022)/Online.md"]
04 Albums & Eras/33/Pay Attention (feat. little luna).md	["Essays/Concepts/Songs/Pay Attention (feat. little luna).md", "Brain/Songs/33 (2022)/Pay Attention (feat. little luna).md"]
04 Albums & Eras/Lucius Lullaby/Playing to the Gods.md	["Essays/Concepts/Songs/Playing to the Gods.md", "Brain/Songs/Lucius Lullaby (2026)/Playing to the Gods.md"]
04 Albums & Eras/Subject to Flooding/Precious Time.md	["Essays/Concepts/Songs/Precious Time.md", "Brain/Songs/Subject to Flooding (2018)/Precious Time.md"]
04 Albums & Eras/Subject to Flooding/Roy Voice Memo - S1 Arrowhead.md	["Essays/Concepts/Songs/Roy Voice Memo - S1 Arrowhead.md", "Brain/Songs/Subject to Flooding (2018)/Roy Voice Memo - S1 Arrowhead.md"]
04 Albums & Eras/Lucius Lullaby/SOL.md	["Essays/Concepts/Songs/SOL.md", "Brain/Songs/Lucius Lullaby (2026)/SOL.md"]
04 Albums & Eras/Subject to Flooding/Shine.md	["Essays/Concepts/Songs/Shine.md", "Brain/Songs/Subject to Flooding (2018)/Shine.md"]
04 Albums & Eras/Singles & EPs/SideQuest.md	["Essays/Concepts/Songs/SideQuest.md", "Brain/Songs/Singles & EPs/SideQuest.md"]
04 Albums & Eras/33/Soul Is A Star.md	["Essays/Concepts/Songs/Soul Is A Star.md", "Brain/Songs/33 (2022)/Soul Is A Star.md"]
04 Albums & Eras/Subject to Flooding/Superhuman (Interlude).md	["Essays/Concepts/Songs/Superhuman (Interlude).md", "Brain/Songs/Subject to Flooding (2018)/Superhuman (Interlude).md"]
04 Albums & Eras/Subject to Flooding/Superhuman.md	["Essays/Concepts/Songs/Superhuman.md", "Brain/Songs/Subject to Flooding (2018)/Superhuman.md"]
04 Albums & Eras/Lucius Lullaby/The Circle (Lucius Version).md	["Essays/Concepts/Songs/The Circle (Lucius Version).md", "Brain/Songs/Lucius Lullaby (2026)/The Circle (Lucius Version).md"]
04 Albums & Eras/33/The Circle.md	["Essays/Concepts/Songs/The Circle.md", "Brain/Songs/33 (2022)/The Circle.md"]
04 Albums & Eras/Singles & EPs/The Watchers.md	["Essays/Concepts/Songs/The Watchers.md", "Brain/Songs/Singles & EPs/The Watchers.md"]
04 Albums & Eras/Lucius Lullaby/Weirdness.md	["Essays/Concepts/Songs/Weirdness.md", "Brain/Songs/Lucius Lullaby (2026)/Weirdness.md"]
04 Albums & Eras/Lucius Lullaby/Welcome to the Circus.md	["Essays/Concepts/Songs/Welcome to the Circus.md", "Brain/Songs/Welcome to the Circus.md"]
04 Albums & Eras/Singles & EPs/dumbledore.md	["Essays/Concepts/Songs/dumbledore.md", "Brain/Songs/Singles & EPs/dumbledore.md"]
04 Albums & Eras/Singles & EPs/tomorrow (ANGLE OF ETERNITY).md	["Essays/Concepts/Songs/tomorrow (ANGLE OF ETERNITY).md", "Brain/Songs/Singles & EPs/tomorrow (ANGLE OF ETERNITY).md"]
04 Albums & Eras/33/33.md	["Brain/Albums/33 (album).md", "Essays/_drafts/33 Vetting Dossiers/01 - The Board as Decoder.md", "Essays/_drafts/33 Vetting Dossiers/02 - The Pinocchio Complex and Cross-Era Threads.md", "Essays/_drafts/33 Vetting Dossiers/03 - Influences and the Mother-Channel.md"]
04 Albums & Eras/Lucius Lullaby/Lucius Lullaby (album).md	["Brain/Albums/Lucius Lullaby (album).md", "Essays/Arcs/Lucius Lullaby.md", "Essays/_drafts/Lucius Lullaby — Album Deep Dive (2026-06-13).md", "Essays/_drafts/LL Vetting Dossiers/01 - The Album Arc.md", "Essays/_drafts/LL Vetting Dossiers/03 - SOL and the Joni Bridge.md", "Essays/_drafts/LL Vetting Dossiers/07 - The Digital-Age Endgame.md"]
04 Albums & Eras/Singles & EPs/Singles & EPs.md	["Brain/Songs/Singles & EPs/Singles Index.md", "Essays/Concepts/Songs/Good Time (1-08).md", "Essays/Concepts/Songs/LOOP.md", "Essays/_drafts/LL Vetting Dossiers/00 - Context Primer.md", "Essays/_drafts/LL Vetting Dossiers/05 - Bob Dylan.md"]
04 Albums & Eras/Subject to Flooding/Subject to Flooding.md	["Brain/Albums/Subject to Flooding (album).md", "Essays/_drafts/STF Vetting Dossiers/01 - The Water-Line.md", "Essays/_drafts/STF Vetting Dossiers/03 - The Method Was Debut-Native.md", "Essays/_drafts/STF Vetting Dossiers/04 - Dream Dream - Mercer, CREAM, and the Spelled Hook.md", "Essays/_drafts/STF Vetting Dossiers/05 - Cross-Era Threads.md"]
06 Artifacts/Artifacts.md	["Sources/Artifacts/Media Evaluation - Artifacts hub.md"]
06 Artifacts/Artifacts - Drawings and Sketches.md	["Sources/Artifacts/Artifacts - Drawings and Sketches.md"]
06 Artifacts/Artifacts - Songs, Demos and Mints.md	["Sources/Artifacts/Artifacts - Songs, Demos and Mints.md"]
06 Artifacts/Artifacts - Concept Images and Emblems.md	["Sources/Artifacts/Artifacts - Concept Images and Emblems.md"]
06 Artifacts/Artifacts - Family, Friends and Moments.md	["Sources/Artifacts/Artifacts - Family, Friends and Moments.md"]
06 Artifacts/Artifacts - Ciphers and Code-Series.md	["Sources/Artifacts/Artifacts - Ciphers and Code-Series.md"]
06 Artifacts/Artifacts - Poems, Texts and Social Posts.md	["Sources/Artifacts/Artifacts - Poems, Texts and Social Posts.md"]
